sad_id,rank,neighbor,similarity
33_ICE-District_Edmonton-AB,2,38_Bicentennial-Unity-Plaza_Indianapolis-IN,0.7076
33_ICE-District_Edmonton-AB,3,15_Gallagher-Square_San-Diego-CA,0.6166
33_ICE-District_Edmonton-AB,4,08_Water-Street_Tampa-FL,0.581
33_ICE-District_Edmonton-AB,5,22_True-North-Square_Winnipeg-MB,0.5409
34_Aquilini-Centre_Vancouver-BC,1,09_Maple-Leaf-Square_Toronto-ON,0.8963
34_Aquilini-Centre_Vancouver-BC,2,05_Downtown-East_Minneapolis-MN,0.7351
34_Aquilini-Centre_Vancouver-BC,3,16_Mission-Rock_San-Francisco-CA,0.7174
34_Aquilini-Centre_Vancouver-BC,4,06_Victory-Park_Dallas-TX,0.7056
34_Aquilini-Centre_Vancouver-BC,5,32_District-Detroit_Detroit-MI,0.5902
35_Deer-District_Milwaukee-WI,1,10_Pacific-Yards_Brooklyn-NY,-0.0199
35_Deer-District_Milwaukee-WI,2,09_Maple-Leaf-Square_Toronto-ON,-0.0339
35_Deer-District_Milwaukee-WI,3,02_Sportsmans-Park_Glendale-AZ,-0.049
35_Deer-District_Milwaukee-WI,4,18_Ballpark-Village_St-Louis-MO,-0.0548
35_Deer-District_Milwaukee-WI,5,17_The-Boxyard_Seattle-WA,-0.055
36_Downtown-Commons_Sacramento-CA,1,03_Titletown_Green-Bay-WI,0.6121
36_Downtown-Commons_Sacramento-CA,2,22_True-North-Square_Winnipeg-MB,0.5706
36_Downtown-Commons_Sacramento-CA,3,21_Hub-on-Causeway_Boston-MA,0.5016
36_Downtown-Commons_Sacramento-CA,4,18_Ballpark-Village_St-Louis-MO,0.4945
36_Downtown-Commons_Sacramento-CA,5,07_LA-Live_Los-Angeles-CA,0.4233
37_Galaxy-Park_Carson-CA,1,04_Hollywood-Park_Inglewood-CA,0.7485
37_Galaxy-Park_Carson-CA,2,25_Viking-Lakes_Eagan-MN,0.5445
37_Galaxy-Park_Carson-CA,3,13_Gallagher-Way_Chicago-IL,0.4424
37_Galaxy-Park_Carson-CA,4,38_Bicentennial-Unity-Plaza_Indianapolis-IN,0.3543
37_Galaxy-Park_Carson-CA,5,33_ICE-District_Edmonton-AB,0.2942
38_Bicentennial-Unity-Plaza_Indianapolis-IN,1,17_The-Boxyard_Seattle-WA,0.7527
38_Bicentennial-Unity-Plaza_Indianapolis-IN,2,33_ICE-District_Edmonton-AB,0.7076
38_Bicentennial-Unity-Plaza_Indianapolis-IN,3,02_Sportsmans-Park_Glendale-AZ,0.6415
38_Bicentennial-Unity-Plaza_Indianapolis-IN,4,15_Gallagher-Square_San-Diego-CA,0.6312
38_Bicentennial-Unity-Plaza_Indianapolis-IN,5,23_Power-and-Light-District_Kansas-City-MO,0.6025
